time,HEADWATER,TAILWATER,GAGE_1
118.0000000000,-3182.4,-2214.5,5898.0
119.0000000000,-3194.3,-2222.0,5917.4
120.0000000000,-3205.5,-2229.0,5935.6
121.0000000000,-3216.3,-2235.7,5953.0
122.0000000000,-3226.8,-2242.2,5970.0
123.0000000000,-3236.8,-2248.5,5986.3
124.0000000000,-3246.4,-2254.5,6001.9
125.0000000000,-3255.5,-2260.0,6016.5
126.0000000000,-3263.9,-2265.1,6030.0
127.0000000000,-3272.0,-2269.9,6042.9
128.0000000000,-3279.4,-2274.4,6054.8
129.0000000000,-3286.7,-2278.7,6066.5
130.0000000000,-3293.0,-2282.3,6076.4
131.0000000000,-3298.7,-2285.5,6085.1
132.0000000000,-3303.7,-2288.2,6092.9
133.0000000000,-3308.8,-2290.9,6100.7
134.0000000000,-3313.2,-2293.3,6107.5
135.0000000000,-3317.0,-2295.2,6113.3
136.0000000000,-3320.3,-2296.7,6118.1
137.0000000000,-3323.0,-2297.8,6121.8
138.0000000000,-3325.0,-2298.5,6124.5
139.0000000000,-3326.6,-2298.9,6126.5
140.0000000000,-3327.8,-2298.9,6127.7
141.0000000000,-3328.4,-2298.7,6128.1
142.0000000000,-3328.2,-2297.8,6127.1
143.0000000000,-3327.7,-2296.7,6125.4
144.0000000000,-3326.8,-2295.4,6123.2
145.0000000000,-3324.9,-2293.3,6119.2
146.0000000000,-3322.6,-2291.0,6114.7
147.0000000000,-3319.8,-2288.3,6109.2
148.0000000000,-3316.6,-2285.4,6103.0
149.0000000000,-3312.8,-2282.1,6095.9
150.0000000000,-3308.6,-2278.5,6088.1
151.0000000000,-3303.7,-2274.4,6079.2
152.0000000000,-3298.5,-2270.1,6069.6
153.0000000000,-3292.4,-2265.2,6058.6
154.0000000000,-3286.2,-2260.2,6047.5
155.0000000000,-3279.2,-2254.7,6035.0
156.0000000000,-3271.4,-2248.7,6021.2
157.0000000000,-3263.5,-2242.5,6007.0
158.0000000000,-3255.0,-2236.0,5992.0
159.0000000000,-3245.8,-2228.9,5975.8
160.0000000000,-3236.4,-2221.9,5959.4
161.0000000000,-3226.4,-2214.3,5941.8
162.0000000000,-3215.7,-2206.3,5923.1
163.0000000000,-3204.2,-2197.6,5903.0
164.0000000000,-3192.4,-2188.9,5882.4
165.0000000000,-3180.3,-2179.9,5861.4
166.0000000000,-3168.0,-2170.8,5839.9
167.0000000000,-3154.8,-2161.1,5817.0
168.0000000000,-3141.4,-2151.4,5793.9
169.0000000000,-3127.3,-2141.0,5769.5
170.0000000000,-3113.0,-2130.6,5744.7
171.0000000000,-3098.0,-2119.7,5718.9
172.0000000000,-3082.5,-2108.4,5692.0
173.0000000000,-3066.6,-2096.9,5664.6
174.0000000000,-3050.1,-2085.0,5636.3
175.0000000000,-3033.2,-2072.7,5607.1
176.0000000000,-3015.8,-2060.2,5577.2
177.0000000000,-2997.8,-2047.2,5546.3
178.0000000000,-2979.3,-2033.9,5514.5
179.0000000000,-2960.8,-2020.7,5482.7
180.0000000000,-2941.8,-2007.2,5450.2
181.0000000000,-2922.3,-1993.3,5416.9
182.0000000000,-2902.3,-1979.0,5382.5
183.0000000000,-2881.8,-1964.3,5347.3
184.0000000000,-2861.0,-1949.5,5311.8
185.0000000000,-2840.0,-1934.7,5276.0
186.0000000000,-2818.2,-1919.2,5238.8
187.0000000000,-2796.1,-1903.5,5200.9
188.0000000000,-2773.9,-1887.8,5163.0
189.0000000000,-2751.1,-1871.7,5124.1
190.0000000000,-2728.2,-1855.6,5085.1
191.0000000000,-2704.9,-1839.1,5045.4
192.0000000000,-2680.9,-1822.2,5004.5
193.0000000000,-2656.6,-1805.1,4963.1
194.0000000000,-2632.1,-1787.8,4921.3
195.0000000000,-2607.3,-1770.4,4879.1
196.0000000000,-2582.1,-1752.8,4836.3
197.0000000000,-2556.7,-1735.0,4793.1
198.0000000000,-2530.8,-1716.9,4749.1
199.0000000000,-2504.8,-1698.7,4704.9
200.0000000000,-2478.6,-1680.4,4660.5
201.0000000000,-2452.1,-1661.9,4615.4
202.0000000000,-2425.1,-1643.1,4569.6
203.0000000000,-2398.1,-1624.4,4524.0
204.0000000000,-2370.5,-1605.1,4477.1
205.0000000000,-2342.8,-1585.8,4430.0
206.0000000000,-2314.9,-1566.5,4383.0
207.0000000000,-2286.8,-1547.0,4335.4
208.0000000000,-2258.5,-1527.4,4287.5
209.0000000000,-2229.9,-1507.6,4239.1
210.0000000000,-2201.1,-1487.7,4190.3
211.0000000000,-2172.1,-1467.6,4141.3
212.0000000000,-2143.0,-1447.6,4092.1
213.0000000000,-2113.6,-1427.3,4042.4
214.0000000000,-2084.1,-1407.0,3992.6
215.0000000000,-2054.5,-1386.6,3942.7
216.0000000000,-2024.6,-1366.1,3892.2
217.0000000000,-1994.4,-1345.3,3841.3
218.0000000000,-1964.3,-1324.6,3790.5
219.0000000000,-1933.9,-1303.8,3739.3
220.0000000000,-1903.6,-1283.0,3688.2
221.0000000000,-1872.9,-1262.0,3636.5
222.0000000000,-1842.2,-1240.9,3584.7
223.0000000000,-1811.5,-1219.9,3533.1
224.0000000000,-1780.7,-1198.9,3481.2
225.0000000000,-1749.8,-1177.8,3429.3
226.0000000000,-1718.7,-1156.5,3376.8
227.0000000000,-1687.7,-1135.4,3324.7
228.0000000000,-1656.7,-1114.3,3272.6
229.0000000000,-1625.5,-1093.0,3220.2
230.0000000000,-1594.3,-1071.8,3167.8
231.0000000000,-1563.2,-1050.6,3115.5
232.0000000000,-1531.9,-1029.4,3063.0
233.0000000000,-1500.8,-1008.2,3010.7
